Date,Type,Link
2024-11-26 15:19:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7266984528391348224
2024-11-26 09:10:14,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7267077289744424960
2024-11-26 09:09:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7267047016097009665
2024-11-25 11:32:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7263185224849620993
2024-11-24 18:10:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7262285310707851265?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7262285310707851265%2C7266388609665040385%29
2024-11-23 17:15:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7266074793202876416
2024-11-23 09:40:22,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265306601039785985
2024-11-22 12:46:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7265652358993395713
2024-11-22 12:45:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7262047844356820994?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7262047844356820994%2C7265681544944492545%29
2024-11-22 12:45:35,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7262047844356820994?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7262047844356820994%2C7262376198947663872%29
2024-11-22 10:22:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265640717912260609
2024-11-22 10:21:52,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265627658611273728?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7265627658611273728%2C7265655474631421952%29
2024-11-22 09:15:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265627658611273728?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7265627658611273728%2C7265636729204723712%29
2024-11-21 17:07:05,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7262874464181186560
2024-11-21 17:05:46,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265326443637694464
2024-11-21 17:04:56,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7264762297904947203
2024-11-21 16:59:57,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265257633463373824
2024-11-21 16:59:40,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265367311006449664
2024-11-21 16:59:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265380963587612672
2024-11-21 16:59:10,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265379227825266688
2024-11-21 15:23:52,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265238266210054144
2024-11-21 15:23:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7263076078393409536
2024-11-21 15:22:24,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7264942570873540608
2024-11-21 15:22:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7265375290233704448
2024-11-21 15:22:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7265295364918808577
2024-11-21 15:20:23,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7264700620706627586
